#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 03 19 40 999 99.0 99.0  1.27 14.29  9.72  12 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 20 10 999 99.0 99.0  1.22 14.29  9.49  10 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 20 40 999 99.0 99.0  1.26 15.38  9.53  12 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 03 21 10 999 99.0 99.0  1.14 13.33  8.93  16 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 03 21 40 999 99.0 99.0  1.19 14.29  8.97  15 9999.0 999.0  24.3 999.0 99.0 99.00
2012 01 03 22 10 999 99.0 99.0  1.31 15.38  9.79  20 9999.0 999.0  24.7 999.0 99.0 99.00
2012 01 03 22 40 999 99.0 99.0  1.19 14.29  9.04   8 9999.0 999.0  24.4 999.0 99.0 99.00
2012 01 03 23 10 999 99.0 99.0  1.41 14.29  9.72  12 9999.0 999.0  24.4 999.0 99.0 99.00
2012 01 03 23 40 999 99.0 99.0  1.40 14.29  9.62   8 9999.0 999.0  24.8 999.0 99.0 99.00
2012 01 04 00 10 999 99.0 99.0  1.32 14.29  9.45  13 9999.0 999.0  24.5 999.0 99.0 99.00
2012 01 04 00 40 999 99.0 99.0  1.41 13.33 10.12   8 9999.0 999.0  24.4 999.0 99.0 99.00
2012 01 04 01 10 999 99.0 99.0  1.49 14.29 10.40  12 9999.0 999.0  24.3 999.0 99.0 99.00
2012 01 04 01 40 999 99.0 99.0  1.63 14.29 10.84   2 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 04 02 10 999 99.0 99.0  1.36 14.29  9.71   5 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 04 02 40 999 99.0 99.0  1.56 14.29 10.36   3 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 04 03 10 999 99.0 99.0  1.55 14.29 10.43 356 9999.0 999.0  24.3 999.0 99.0 99.00
2012 01 04 03 40 999 99.0 99.0  1.69 15.38 10.34   6 9999.0 999.0  24.2 999.0 99.0 99.00
2012 01 04 04 10 999 99.0 99.0  1.63 15.38 10.17 359 9999.0 999.0  24.3 999.0 99.0 99.00
2012 01 04 04 40 999 99.0 99.0  1.65 14.29  9.94 356 9999.0 999.0  24.3 999.0 99.0 99.00
2012 01 04 05 10 999 99.0 99.0  1.81 14.29 10.58   8 9999.0 999.0  24.2 999.0 99.0 99.00
2012 01 04 05 40 999 99.0 99.0  1.68 14.29  9.90  12 9999.0 999.0  24.3 999.0 99.0 99.00
2012 01 04 06 10 999 99.0 99.0  1.99 14.29 10.62 356 9999.0 999.0  24.2 999.0 99.0 99.00
2012 01 04 06 40 999 99.0 99.0  1.83 14.29 10.48   6 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 04 07 10 999 99.0 99.0  2.03 14.29 10.73   5 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 04 07 40 999 99.0 99.0  2.01 14.29 10.54   6 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 04 08 10 999 99.0 99.0  1.86 15.38 10.00   3 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 04 08 40 999 99.0 99.0  1.92 14.29  9.88   8 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 04 09 10 999 99.0 99.0  2.07 15.38 10.18 358 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 04 09 40 999 99.0 99.0  2.04 13.33 10.08 355 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 04 10 10 999 99.0 99.0  2.16 13.33 10.07 354 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 10 40 999 99.0 99.0  2.18 15.38  9.95   1 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 11 10 999 99.0 99.0  2.01 11.76  9.67 348 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 11 40 999 99.0 99.0  2.12 12.50 10.20 356 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 12 10 999 99.0 99.0  2.05 11.76  9.51 352 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 12 40 999 99.0 99.0  2.02 13.33  9.39 358 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 13 10 999 99.0 99.0  2.06 11.76  9.11 344 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 13 40 999 99.0 99.0  2.19 14.29  9.35   3 9999.0 999.0  23.9 999.0 99.0 99.00
