#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 02 08 07 11 999 99.0 99.0  1.07 11.76  5.38 350 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 07 41 999 99.0 99.0  1.11 10.53  5.70 350 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 08 11 999 99.0 99.0  1.12 12.50  5.75 357 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 08 41 999 99.0 99.0  1.13 10.53  5.54 352 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 09 11 999 99.0 99.0  1.05 13.33  5.19 350 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 09 41 999 99.0 99.0  1.16 11.11  5.53 355 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 10 11 999 99.0 99.0  1.22 10.53  5.34 357 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 10 41 999 99.0 99.0  1.19  9.88  5.18 349 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 11 11 999 99.0 99.0  1.24  9.88  5.60 346 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 08 11 41 999 99.0 99.0  1.34 10.53  5.55 348 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 08 12 11 999 99.0 99.0  1.23 12.50  5.27 353 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 12 41 999 99.0 99.0  1.25  9.88  5.37 349 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 13 11 999 99.0 99.0  1.30  9.88  5.40 348 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 13 41 999 99.0 99.0  1.24  8.33  5.33  31 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 14 11 999 99.0 99.0  1.26  8.33  5.29  28 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 14 41 999 99.0 99.0  1.26  9.09  5.30   0 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 15 11 999 99.0 99.0  1.23  9.09  5.25   4 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 15 41 999 99.0 99.0  1.27  9.09  5.15   6 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 16 11 999 99.0 99.0  1.23  8.33  4.99  17 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 16 41 999 99.0 99.0  1.27  8.33  5.19  52 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 17 11 999 99.0 99.0  1.25  8.33  5.03  97 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 17 41 999 99.0 99.0  1.18 12.50  5.11   9 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 18 11 999 99.0 99.0  1.17 12.50  5.14 343 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 18 41 999 99.0 99.0  1.14  8.33  5.10 100 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 19 11 999 99.0 99.0  1.18 11.11  5.37 357 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 08 19 41 999 99.0 99.0  1.19 11.11  5.52 348 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 20 11 999 99.0 99.0  1.15 12.50  5.38 352 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 20 41 999 99.0 99.0  1.13  7.69  5.16  59 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 21 11 999 99.0 99.0  1.17 12.50  5.34   2 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 21 41 999 99.0 99.0  1.18 11.11  5.12 343 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 22 11 999 99.0 99.0  1.19  8.33  5.08  86 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 22 41 999 99.0 99.0  1.25 11.76  5.17 349 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 23 11 999 99.0 99.0  1.26 11.11  5.19 348 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 23 41 999 99.0 99.0  1.35 11.11  5.27 353 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 09 00 11 999 99.0 99.0  1.30  8.33  5.27 117 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 09 00 41 999 99.0 99.0  1.27 11.76  5.30 349 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 09 01 11 999 99.0 99.0  1.27 11.11  5.37 349 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 09 01 41 999 99.0 99.0  1.26 11.76  5.46   0 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 09 02 11 999 99.0 99.0  1.25 11.11  5.48   3 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 09 02 41 999 99.0 99.0  1.19 11.11  5.23 350 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 09 03 11 999 99.0 99.0  1.16 11.11  5.42 357 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 09 03 41 999 99.0 99.0  1.21 11.11  5.52  18 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 09 04 11 999 99.0 99.0  1.29 10.53  5.48 355 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 09 04 41 999 99.0 99.0  1.20 10.53  5.22 353 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 09 05 11 999 99.0 99.0  1.19 11.11  4.98   2 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 09 05 41 999 99.0 99.0  1.25  8.33  5.09 127 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 09 06 11 999 99.0 99.0  1.30 10.53  5.43 356 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 09 06 41 999 99.0 99.0  1.30 11.11  5.07 352 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 09 07 11 999 99.0 99.0  1.39  9.88  5.08 349 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 09 07 41 999 99.0 99.0  1.41  4.55  5.11  76 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 09 08 11 999 99.0 99.0  1.44  9.88  5.28   3 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 09 08 41 999 99.0 99.0  1.48  4.76  5.06  75 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 09 09 11 999 99.0 99.0  1.58  4.55  5.15  79 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 09 09 41 999 99.0 99.0  1.51  5.26  5.07  96 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 09 10 11 999 99.0 99.0  1.53 12.50  5.08 333 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 09 10 41 999 99.0 99.0  1.63  5.00  5.18  86 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 09 11 11 999 99.0 99.0  1.69  5.56  5.22  97 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 09 11 41 999 99.0 99.0  1.63  5.88  5.14  99 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 09 12 11 999 99.0 99.0  1.60  5.56  5.12  90 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 09 12 41 999 99.0 99.0  1.71  5.26  5.32  89 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 09 13 11 999 99.0 99.0  1.56  5.56  5.00  87 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 09 13 41 999 99.0 99.0  1.59  5.56  5.18  89 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 09 14 11 999 99.0 99.0  1.55  5.88  5.18 103 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 09 14 41 999 99.0 99.0  1.52  5.56  5.09  96 9999.0 999.0  23.8 999.0 99.0 99.00
